Id,SalePrice
1461,139016.9659090909
1462,141759.0909090909
1463,158930.4347826087
1464,158930.4347826087
1465,215785.7142857143
1466,175336.16981132075
1467,163321.11320754717
1468,175336.16981132075
1469,198575.84931506848
1470,109987.59523809524
1471,198575.84931506848
1472,102006.35
1473,139016.9659090909
1474,158930.4347826087
1475,159811.11111111112
1476,434561.6666666667
1477,264018.6206896552
1478,276166.6666666667
1479,255916.66666666666
1480,335069.6666666667
1481,400877.125
1482,215785.7142857143
1483,163321.11320754717
1484,198575.84931506848
1485,176675.0
1486,198575.84931506848
1487,382435.0
1488,264018.6206896552
1489,198575.84931506848
1490,219862.5
1491,198575.84931506848
1492,113572.41379310345
1493,175336.16981132075
1494,309649.1666666667
1495,264018.6206896552
1496,223041.92
1497,198575.84931506848
1498,155641.44827586206
1499,155641.44827586206
1500,139016.9659090909
1501,158930.4347826087
1502,176675.0
1503,264018.6206896552
1504,237942.17647058822
1505,223041.92
1506,211817.05263157896
1507,211817.05263157896
1508,211817.05263157896
1509,175336.16981132075
1510,163321.11320754717
1511,163321.11320754717
1512,219862.5
1513,175336.16981132075
1514,158930.4347826087
1515,211817.05263157896
1516,175336.16981132075
1517,143244.3396226415
1518,134212.92682926828
1519,223041.92
1520,143244.3396226415
1521,163321.11320754717
1522,158930.4347826087
1523,109987.59523809524
1524,139016.9659090909
1525,139016.9659090909
1526,117086.0
1527,109987.59523809524
1528,117086.0
1529,163321.11320754717
1530,163321.11320754717
1531,97083.33333333333
1532,102006.35
1533,117086.66666666667
1534,117086.0
1535,184950.0
1536,117086.66666666667
1537,79175.0
1538,156000.0
1539,303300.0
1540,134212.92682926828
1541,138700.0
1542,158930.4347826087
1543,228646.92857142858
1544,109987.59523809524
1545,102006.35
1546,139016.9659090909
1547,134212.92682926828
1548,144079.54545454544
1549,139016.9659090909
1550,134212.92682926828
1551,141759.0909090909
1552,142582.22222222222
1553,144079.54545454544
1554,102006.35
1555,184950.0
1556,117086.0
1557,141759.0909090909
1558,102006.35
1559,134212.92682926828
1560,184950.0
1561,211817.05263157896
1562,139016.9659090909
1563,117086.0
1564,163321.11320754717
1565,142582.22222222222
1566,198575.84931506848
1567,109987.59523809524
1568,211817.05263157896
1569,134212.92682926828
1570,113572.41379310345
1571,134212.92682926828
1572,141759.0909090909
1573,223041.92
1574,109479.5
1575,198575.84931506848
1576,211817.05263157896
1577,198575.84931506848
1578,175336.16981132075
1579,139016.9659090909
1580,198575.84931506848
1581,143244.3396226415
